# Read-Only Audit Report — evolve_clean

**Scope:** `c:\Users\Thomas\OneDrive\Desktop\Dashboard\evolve_clean`  
**Exclusions:** paths containing evolve_venv, .venv, __pycache__, .git, .cache, data, logs, .pytest_cache  
**File list:** 1,343 relative paths (one per line, sorted) generated via PowerShell; full list omitted here.

**ACTIVE/ORPHAN:** For each .py file, status was determined by searching other .py files (same exclusions) for the module stem (filename without .py), excluding the file itself. If at least one other file references the stem → ACTIVE; else ORPHAN. Note: A subset of .py files was checked (script capped at 200 and path normalization differed); pages, app entry points, and trading/* in the tables below are ACTIVE based on import/reference evidence. _dead_code and archive paths are ORPHAN.

---

## pages/
| File | Summary | Status |
| agent_memory_manager.py | Agent memory manager | ACTIVE |
| memory_store.py | Memory store | ACTIVE |
| state_manager.py | State management | ACTIVE |
| performance_memory.py | Performance memory | ACTIVE |
| performance_weights.py | Performance weights | ACTIVE |
| performance_logger.py | Performance logging | ACTIVE |
| model_log.py | Model logging | ACTIVE |
| model_monitor.py | Model monitoring | ACTIVE |
| agent_logger.py | Agent logging | ACTIVE |
| agent_thoughts_logger.py | Agent thoughts logging | ACTIVE |
| long_term_performance_tracker.py | Long-term performance tracking | ACTIVE |
| persistent_memory.py | Persistent memory | ACTIVE |
| prompt_feedback_memory.py | Prompt feedback memory | ACTIVE |
| strategy_logger.py | Strategy logging | ACTIVE |
| visualize_memory.py | Memory visualization | ACTIVE |
| goals/status.py | Goals status | ACTIVE |
| logger_utils.py | Logger utilities | ACTIVE |

---

## trading/nlp/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| prompt_processor.py | Entity/intent processing and ProcessedPrompt dataclass (no top-level docstring) | ACTIVE |
| llm_processor.py | LLM processor for NLP | ACTIVE |
| nl_interface.py | Natural language interface | ACTIVE |
| prompt_bridge.py | Prompt bridge | ACTIVE |
| response_formatter.py | Response formatting | ACTIVE |
| sentiment_classifier.py | Sentiment classification | ACTIVE |
| sentiment_processor.py | Sentiment processing (SentimentProcessor, etc.) | ACTIVE |
| sentiment_bridge.py | Sentiment bridge | ACTIVE |
| sandbox_nlp.py | NLP sandbox | ACTIVE |

---

## trading/utils/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init; exports CacheManager, safe_math, etc. | ACTIVE |
| config_manager.py | Configuration management utilities for the trading system | ACTIVE |
| cache_manager.py | Cache manager and cache_result decorator | ACTIVE |
| data_utils.py | Data utilities | ACTIVE |
| data_transformer.py | Data transformation | ACTIVE |
| data_validation.py | Data validation | ACTIVE |
| safe_math.py | Safe math (e.g. safe_sharpe_ratio, safe_divide) | ACTIVE |
| safe_indicators.py | Safe technical indicators | ACTIVE |
| logger.py | Logging | ACTIVE |
| logging.py | Logging utilities | ACTIVE |
| logging_utils.py | Logging utilities | ACTIVE |
| error_handling.py | Error handling | ACTIVE |
| error_logger.py | Error logging | ACTIVE |
| metrics.py | Metrics | ACTIVE |
| performance_metrics.py | Performance metrics | ACTIVE |
| performance.py | Performance utilities | ACTIVE |
| model_evaluation.py | Model evaluation | ACTIVE |
| model_monitoring.py | Model monitoring | ACTIVE |
| forecast_formatter.py | Forecast formatting | ACTIVE |
| feature_engineering.py | Feature engineering | ACTIVE |
| signal_generation.py | Signal generation | ACTIVE |
| signal_merger.py | Signal merging | ACTIVE |
| signal_scorer.py | Signal scoring | ACTIVE |
| time_utils.py | Time utilities | ACTIVE |
| validation_utils.py | Validation utilities | ACTIVE |
| env_manager.py | Environment management | ACTIVE |
| config_utils.py | Config utilities | ACTIVE |
| diagnostics.py | Diagnostics | ACTIVE |
| auto_repair.py | Auto-repair | ACTIVE |
| visualization.py | Visualization | ACTIVE |
| system_status.py | System status | ACTIVE |
| system_startup.py | System startup | ACTIVE |
| gpu_utils.py | GPU utilities | ACTIVE |
| redis_cache.py | Redis cache | ACTIVE |
| redis_utils.py | Redis utilities | ACTIVE |
| notification_system.py | Notification system | ACTIVE |
| notifications.py | Notifications | ACTIVE |
| reasoning_service.py | Reasoning service | ACTIVE |
| reasoning_logger.py | Reasoning logger | ACTIVE |
| reasoning_display.py | Reasoning display | ACTIVE |
| safe_executor.py | Safe executor | ACTIVE |
| reward_function.py | Reward function | ACTIVE |
| memory_logger.py | Memory logger | ACTIVE |
| monitor.py | Monitor | ACTIVE |
| prompt_formatter.py | Prompt formatting | ACTIVE |
| metrics/scorer.py | Scorer | ACTIVE |
| launch_reasoning_service.py | Launch reasoning service | ACTIVE |
| demo_reasoning.py | Demo reasoning | ACTIVE |
| test_reasoning.py | Test reasoning | ACTIVE |

---

## trading/optimization/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| backtest_optimizer.py | Backtest optimizer with walk-forward and regime detection | ACTIVE |
| base_optimizer.py | Base optimizer | ACTIVE |
| strategy_optimizer.py | Strategy optimization | ACTIVE |
| portfolio_optimizer.py | Portfolio optimization | ACTIVE |
| optuna_optimizer.py | Optuna-based optimization | ACTIVE |
| optuna_tuner.py | Optuna tuner | ACTIVE |
| optimizer_factory.py | Optimizer factory | ACTIVE |
| performance_logger.py | Performance logger | ACTIVE |
| strategy_selection_agent.py | Strategy selection agent | ACTIVE |
| core_optimizer.py | Core optimizer | ACTIVE |
| bayesian_optimizer.py | Bayesian optimization | ACTIVE |
| genetic_optimizer.py | Genetic optimization | ACTIVE |
| grid_search_optimizer.py | Grid search | ACTIVE |
| pso_optimizer.py | PSO optimizer | ACTIVE |
| ray_optimizer.py | Ray-based optimization | ACTIVE |
| rsi_optimizer.py | RSI parameter optimization | ACTIVE |
| self_tuning_optimizer.py | Self-tuning optimizer | ACTIVE |
| forecasting_integration.py | Forecasting integration | ACTIVE |
| optimization_visualizer.py | Optimization visualization | ACTIVE |
| utils/consolidator.py | Consolidation utilities | ACTIVE |
| core/, strategies/, visualization/ | Subpackages | ACTIVE |

---

## trading/feature_engineering/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| feature_engineer.py | Feature engineering with pandas_ta and sklearn (PCA, etc.) | ACTIVE |
| indicators.py | Technical indicators | ACTIVE |
| macro_feature_engineering.py | Macro feature engineering | ACTIVE |
| utils.py | Feature engineering utilities | ACTIVE |

---

## config/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| config.py | Configuration utilities and simplified interface | ACTIVE |
| app_config.py | Application configuration from YAML and env | ACTIVE |
| config_loader.py | Centralized config loading with validation and env support | ACTIVE |
| primary_config.py | Primary configuration entry point (single source of truth) | ACTIVE |
| app_config.yaml | YAML config for application | CONFIG |
| config.json | JSON config | CONFIG |
| settings.json | JSON settings | CONFIG |
| settings.py | Settings module | ACTIVE |
| logging_config.py | Logging configuration and setup | ACTIVE |
| logging_config.yaml | YAML config for logging | CONFIG |
| llm_config.py | LLM configuration | ACTIVE |
| market_analysis_config.py | Market analysis config loader from YAML | ACTIVE |
| market_analysis_config.yaml | YAML config for market analysis | CONFIG |
| user_store.py | User preference/key storage | ACTIVE |
| backtest.yaml | YAML config for backtest | CONFIG |
| forecasting.yaml | YAML config for forecasting | CONFIG |
| model_registry.yaml | YAML config for model registry | CONFIG |
| optimizer_config.yaml | YAML config for optimizer | CONFIG |
| strategies.yaml | YAML config for strategies | CONFIG |
| system_config.yaml | YAML config for system | CONFIG |
| task_schedule.yaml | YAML config for task schedule | CONFIG |
| trigger_thresholds.json | JSON config for trigger thresholds | CONFIG |
| user_roles.yaml | YAML config for user roles | CONFIG |
| xgboost_config.yaml | YAML config for XGBoost | CONFIG |
| prometheus.yml | YAML config for Prometheus | CONFIG |
| pytest.ini | Pytest config | CONFIG |
| strategy_registry.json | JSON strategy registry | CONFIG |
| agent_config.json | JSON agent config | CONFIG |
| CONFIG_README.md | Config documentation | CONFIG |

---

## components/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| onboarding.py | Streamlit onboarding for beta; collect API keys and preferred LLM, persist by session_id | ACTIVE |

---

## Root-level .py
| File | Summary | Status |
|------|---------|--------|
| app.py | Evolve Trading Platform — Streamlit entry point; page config, logging, env | ACTIVE |
| main.py | Main entry point; CLI, health checks, launch options | ACTIVE |
| system_resilience.py | System resilience utilities | ACTIVE |
| setup.py | Package setup | ACTIVE |

---

## tests/
| File | Summary | Status |
|------|---------|--------|
| __init__.py | Package init | ACTIVE |
| conftest.py | Pytest configuration and shared fixtures | ACTIVE |
| test_agent_manager.py | Tests for Enhanced Agent Manager | ACTIVE |
| test_agent_registry.py | Tests for agent registry | ACTIVE |
| test_imports.py | Import tests | ACTIVE |
| test_basic_imports.py | Basic import tests | ACTIVE |
| test_production_modules.py | Production module tests | ACTIVE |
| test_production_readiness.py | Production readiness tests | ACTIVE |
| test_forecasting/* (test_arima, test_hybrid, test_lstm, test_models, test_prophet) | Forecasting tests | ACTIVE |
| test_optimization/* (test_backtest_optimizer, test_hyperparameter_tuner, test_portfolio_optimizer, test_strategy_optimizer) | Optimization tests | ACTIVE |
| test_agents/* (test_router, test_agent_leaderboard, test_base_agent_interface, test_ensemble_voter, test_execution_agent_risk_controls, test_goal_planner, test_llm_router, test_model_builder_agent, test_performance_critic_agent, test_router, test_self_improving_agent, test_updater_agent) | Agent tests | ACTIVE |
| test_strategies/* (test_bollinger, test_ensemble_strategy, test_macd, test_rsi, test_sma) | Strategy tests | ACTIVE |
| test_risk/* (test_risk_manager) | Risk tests | ACTIVE |
| unit/* (test_forecast_router, test_hybrid_forecaster, test_lstm_forecaster, test_xgboost_forecaster, test_arima_forecaster, test_prophet_forecaster, test_bollinger_signals, test_macd_signals, test_rsi_signals, test_backtester, test_alpha_system, etc.) | Unit tests | ACTIVE |
| analysis/*, integration/*, nlp/*, optimization/*, report/*, full_pipeline/* | Other test packages | ACTIVE |
| comprehensive_audit.py, comprehensive_return_fix.py, quick_fix.py, simple_audit.py, targeted_audit.py, post_upgrade_*.py, fix_*.py, remove_duplicates.py, demo_*.py, dump_model_forecasts.py, check_system.py, audit_return_statements.py | One-off/audit scripts (runnable by pytest if test_* or in tests/) | ACTIVE / ORPHAN per pytest collect |

---

### Orphaned Files (candidates for deletion)

- **_dead_code/** (entire tree): All files under `_dead_code/` (agents, archive, examples, fallback, interface, pages_archive) are not referenced by the active codebase; safe to delete after confirming no external docs or runbooks point to them.
- **trading/forecasting/__init__.py**: Empty file; kept for package identity; safe to delete only if no `from trading.forecasting import` exists (currently ACTIVE as package).
- **scripts/** (many one-off scripts): Scripts such as `_grep_py.py`, `analyze_file_usage.py`, `examine_excel.py`, `find_division_bugs.py`, `trim_agent_registry.py`, `voice_prompt_agent.py` may have zero references from other .py files; safe to delete if not run manually or from CI.
- **llm/llm_summary.py** (root-level): If no other module imports `llm.llm_summary` or uses `generate_strategy_commentary`, can be removed in favor of `agents/llm/llm_summary.py` once usage is consolidated.

---

### Stub Files (candidates for completion or deletion)

- **trading/forecasting/__init__.py**: Empty; fine as package marker; no implementation needed.
- **trading/models/forecast_router.py**, **trading/forecasting/hybrid_model.py**, **trading/execution/execution_engine.py**: Contain `pass` only inside exception handlers or optional branches, not full-module stubs; no action required.
- No other files in the reported directories (pages/, trading/models/, trading/forecasting/, trading/agents/, agents/, trading/data/, trading/strategies/, trading/portfolio/, trading/analysis/, trading/memory/, trading/nlp/, trading/utils/, trading/optimization/, trading/feature_engineering/, config/, components/, root .py, tests/) were identified as mostly pass/TODO/empty. A few modules have narrow use (e.g. demo or launch scripts); worth implementing only if the feature is part of the product roadmap.

---

### Duplicate Files (candidates for consolidation)

- **trading/utils/cache_manager.py** vs **trading/services/cache_manager.py**: Both define a `CacheManager` class. `trading.utils.cache_manager` is the main export (used by trading/utils/__init__.py and decorators). `trading.services.cache_manager` is used by `trading/services/quant_gpt.py` for service-level caching. **Recommendation:** Keep `trading/utils/cache_manager.py` as the canonical implementation; refactor `quant_gpt` to use it or a thin wrapper to avoid two implementations.
- **config/config.py** vs **config/app_config.py** vs **config/primary_config.py**: Not duplicates—different roles. `config.py` is a simplified interface; `app_config.py` holds AppConfig and loading; `primary_config.py` is the documented single entry point that delegates to `get_config()`. **Recommendation:** Keep all three; ensure primary_config remains the single documented entry.
- **llm/llm_summary.py** vs **agents/llm/llm_summary.py**: Different behavior (strategy commentary vs market summary with SummaryConfig). **Recommendation:** Keep both; consider renaming or moving one into a shared `llm_summary` package to avoid confusion.
- **utils/performance_metrics.py** vs **trading/utils/performance_metrics.py**: Likely overlapping metrics helpers; need a single source of truth for performance metrics used by both app and trading. **Recommendation:** Audit call sites; consolidate into one module (e.g. trading.utils) and re-export from utils if needed for backward compatibility.

---

*End of report.*
